BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率0%,1N,2N,3N,4N,5N
0,87.9985468510782,205.199159249552,226.799439499702,248.399719749851,270
5,87.9985468510782,205.199159249552,226.799439499702,248.399719749851,270
6,73.3321223758985,205.199159249552,226.799439499702,248.399719749851,270
8,54.9990917819239,205.199159249552,226.799439499702,248.399719749851,270
10,43.9992734255391,205.199159249552,226.799439499702,248.399719749851,270
12,36.6660611879492,205.199159249552,226.799439499702,248.399719749851,270
14,31.4280524468136,205.199159249552,226.799439499702,248.399719749851,270
15,29.3328489503594,205.199159249552,226.799439499702,248.399719749851,270
16,27.4995458909619,205.199159249552,226.799439499702,248.399719749851,270
18,24.4440407919662,205.199159249552,226.799439499702,248.399719749851,270
19,23.1575123292311,205.199159249552,226.799439499702,248.399719749851,270
20,21.9996367127695,205.199159249552,226.799439499702,248.399719749851,270
22,19.9996697388814,205.199159249552,226.799439499702,248.399719749851,270
24,18.3330305939746,205.199159249552,226.799439499702,248.399719749851,270
26,16.9227974713612,205.199159249552,226.799439499702,248.399719749851,270
28,15.7140262234068,205.199159249552,226.799439499702,248.399719749851,270
30,14.6664244751797,205.199159249552,226.799439499702,248.399719749851,270
32,13.749772945481,192.374211796455,226.799439499702,248.399719749851,270
34,12.9409627722174,181.058081690782,226.799439499702,248.399719749851,270
36,12.2220203959831,170.999299374627,226.799439499702,248.399719749851,270
38,11.5787561646156,161.999336249647,226.799439499702,248.399719749851,270
40,10.9998183563848,153.899369437164,226.799439499702,248.399719749851,270
42,10.4760174822712,146.570828035395,226.799439499702,248.399719749851,270
44,9.9998348694407,139.908517670149,226.799439499702,248.399719749851,270
46,9.56505944033458,133.825538641012,226.799439499702,248.399719749851,270
48,9.16651529698731,128.24947453097,226.799439499702,248.399719749851,270
50,8.79985468510782,123.119495549731,226.799439499702,248.399719749851,270
52,8.46139873568059,118.38413033628,226.799439499702,248.399719749851,270
54,8.14801359732205,113.999532916418,226.799439499702,248.399719749851,270
56,7.85701311170341,109.928121026546,226.799439499702,248.399719749851,270
58,7.58608162509295,106.137496163562,226.799439499702,248.399719749851,270
59,7.45750397043036,104.33855555062,226.799439499702,248.399719749851,270
60,7.33321223758985,102.599579624776,226.799439499702,248.399719749851,270
62,7.09665700411921,99.2899157659124,219.483328548098,248.399719749851,270
64,6.87488647274048,96.1871058982277,212.62447453097,248.399719749851,270
66,6.66655657962714,93.2723451134329,206.181308636092,248.399719749851,270
68,6.47048138610869,90.5290408453908,200.117152499737,248.399719749851,270
70,6.28561048936273,87.9424968212367,194.399519571173,248.399719749851,270
72,6.11101019799154,85.4996496873135,188.999532916418,248.399719749851,270
74,5.94584776020799,83.1888483444131,183.89143743219,248.399719749851,270
76,5.78937808230778,80.9996681248233,179.052189078712,248.399719749851,270
78,5.64093249045373,78.9227535575202,174.461107307463,248.399719749851,270
80,5.49990917819239,76.9496847185822,170.099579624776,248.399719749851,270
82,5.36576505189501,75.0728631400802,165.950809390026,248.399719749851,270
84,5.23800874113561,73.2854140176973,161.999599642644,248.399719749851,270
86,5.11619458436501,71.5811020637973,158.232167092815,248.399719749851,270
88,4.99991743472035,69.9542588350747,154.635981477069,248.399719749851,270
90,4.88880815839323,68.3997197498508,151.199626333134,248.399719749851,270
92,4.78252972016729,66.9127693205062,147.912677934588,248.399719749851,270
94,4.68077376867437,65.4890933775167,144.765599680661,248.399719749851,270
95,4.63150246584622,64.7997344998587,143.241751262969,248.399719749851,270
96,4.58325764849366,64.1247372654851,141.749649687313,248.399719749851,267.1875
98,4.48972177811623,62.8160691580262,138.856799693695,248.399719749851,261.734693877551
100,4.39992734255391,61.5597477748657,136.079663699821,248.399719749851,256.5
102,4.31365425740579,60.3526938969272,133.411434999824,248.399719749851,251.470588235294
104,4.2306993678403,59.1920651681401,130.845830480597,243.622802062354,246.634615384615
106,4.15087485146595,58.0752337498733,128.377041226246,239.026145419668,241.981132075472
108,4.07400679866103,56.999766458209,125.999688610945,234.599735319304,237.5
110,3.99993394777628,55.9634070680597,123.708785181655,230.334285586225,233.181818181818
112,3.9285065558517,54.964060513273,121.499699731983,226.221173343614,229.017857142857
114,3.85958538820518,53.9997787498822,119.368126052475,222.252380828814,225
116,3.79304081254647,53.0687480817808,117.310054913639,218.420443228317,221.120689655172
118,3.72875198521518,52.1692777753099,115.321748898153,214.718401817668,217.372881355932
120,3.66660611879492,51.2997898123881,113.399719749851,211.139761787373,213.75
122,3.6064978217655,50.4588096515293,111.540707950673,207.678454217088,210.245901639344
124,3.5483285020596,49.6449578829562,109.741664274049,204.328801729716,206.854838709677
126,3.49200582742374,48.8569426784649,107.999733095096,201.085487416546,203.571428571429
128,3.43744323637024,48.0935529491138,106.312237265485,197.943526675662,200.390625
130,3.38455949427224,47.3536521345121,104.676664384478,194.898241649883,197.307692307692
132,3.33327828981357,46.6361725567165,103.090654318046,191.945237988521,194.318181818182
134,3.28352786757754,45.9401102797505,101.551987835687,189.080383690185,191.417910447761
136,3.23524069305435,45.2645204226954,100.058576249868,186.299789812388,188.602941176471
138,3.1883531467782,44.6085128803375,98.608451956392,183.599792858585,185.869565217391
140,3.14280524468136,43.9712484106184,97.1997597855864,180.976938674891,183.214285714286
